protocol_name,protocol_id,goal_id,goal_text,DeepSeek_result,DeepSeek_confidence,GPT_result,GPT_confidence,results-single-anb-typed-sessions_1-depth_0-2022-PCM.csv_result,results-single-anb-typed-sessions_2-depth_0-2022-PCM.csv_result,results-single-pv-typed-205-PCM.csv_result
Amended_NSCK_AnB.AnBx,PROTO_0001,1,A1 authenticates A2 on N5,attack found,85,attack found,92,NO_ATTACK,NO_ATTACK,NO_ATTACK
Amended_NSCK_AnB.AnBx,PROTO_0001,2,A2 authenticates A1 on N5,no attack,75,no attack,78,NO_ATTACK,NO_ATTACK,NO_ATTACK
Amended_NSCK_AnB.AnBx,PROTO_0001,3,"N5 secret between A1,A2",attack found,90,attack found,85,NO_ATTACK,NO_ATTACK,NO_ATTACK
Amended_NSCK_AnB.AnBx,PROTO_0001,4,A2 *->* A1: N5,attack found,95,attack found,80,NO_ATTACK,NO_ATTACK,NO_ATTACK
Amended_NSCK_AnB.AnBx,PROTO_0001,5,A1 authenticates a3 on K7,no attack,80,no attack,74,NO_ATTACK,NO_ATTACK,NO_ATTACK
Amended_NSCK_AnB.AnBx,PROTO_0001,6,A2 authenticates a3 on K7,attack found,85,attack found,88,NO_ATTACK,NO_ATTACK,NO_ATTACK
AnBx_BlindForwarding_AnB.AnBx,PROTO_0002,1,"A1 weakly authenticates A2 on ccn(A2,A1)",attack found,85,attack found,93,NO_ATTACK,NO_ATTACK,NO_ATTACK
AnBx_BlindForwarding_AnB.AnBx,PROTO_0002,2,"ccn(A2,A1) secret between A2,A1",no attack,90,no attack,88,NO_ATTACK,NO_ATTACK,NO_ATTACK
AnBx_Fresh_from_A_AnB.AnBx,PROTO_0003,1,A2 authenticates A1 on N3,no attack,95,attack found,90,NO_ATTACK,NO_ATTACK,NO_ATTACK
AnBx_Fresh_from_A_with_DH_AnB.AnBx,PROTO_0004,1,A2 authenticates A1 on N3,attack found,85,attack found,86,NO_ATTACK,NO_ATTACK,NO_ATTACK
AnBx_From_A_secret_for_B_C_honest_AnB.AnBx,PROTO_0005,1,A2 weakly authenticates A1 on N4,attack found,85,attack found,92,NO_ATTACK,NO_ATTACK,NO_ATTACK
AnBx_From_A_secret_for_B_C_honest_AnB.AnBx,PROTO_0005,2,a3 weakly authenticates A1 on N4,attack found,85,attack found,90,NO_ATTACK,NO_ATTACK,NO_ATTACK
AnBx_From_A_secret_for_B_C_honest_AnB.AnBx,PROTO_0005,3,"N4 secret between A1,A2,a3",no attack,90,no attack,78,NO_ATTACK,NO_ATTACK,NO_ATTACK
AndrewSecureRPC_AnB.AnBx,PROTO_0006,1,A2 *->* A1: N5,attack found,85,no attack,86,NO_ATTACK,ATTACK,ATTACK
AndrewSecureRPC_AnB.AnBx,PROTO_0006,2,A1 authenticates A2 on N5,attack found,90,attack found,90,NO_ATTACK,ATTACK,ATTACK
AndrewSecureRPCSecrecy_AnB.AnBx,PROTO_0007,1,A2 ->* A1: N5,attack found,95,no attack,92,NO_ATTACK,NO_ATTACK,
Basic_Kerberos_AnB.AnBx,PROTO_0008,1,a4 *->* A1: N7,attack found,85,attack found,86,NO_ATTACK,NO_ATTACK,NO_ATTACK
Bilateral_Key_Exchange_AnB.AnBx,PROTO_0009,1,A2 authenticates A1 on K5,attack found,85,attack found,78,NO_ATTACK,NO_ATTACK,NO_ATTACK
BIP70_AnB.AnBx,PROTO_0010,1,"A3 weakly authenticates A1 on N9,N5",attack found,85,attack found,78,NO_ATTACK,,NO_ATTACK
BIP70_AnB.AnBx,PROTO_0010,2,"A3 weakly authenticates A2 on N10,N6",attack found,85,attack found,78,NO_ATTACK,,NO_ATTACK
BIP70_AnB.AnBx,PROTO_0010,3,"N9,N10 secret between A3,A1,A2",attack found,90,attack found,85,NO_ATTACK,,NO_ATTACK
BIP70_AnB.AnBx,PROTO_0010,4,"A3 weakly authenticates [A1] on N9,N5,N10,N6",attack found,80,attack found,80,NO_ATTACK,,NO_ATTACK
BIP70_AnB.AnBx,PROTO_0010,5,"A3 weakly authenticates [A1] on N9,N5",attack found,85,attack found,78,NO_ATTACK,,NO_ATTACK
BIP70_AnB.AnBx,PROTO_0010,6,A3 weakly authenticates [A1] on P17,no attack,70,attack found,82,NO_ATTACK,,NO_ATTACK
Bullet_Channel_2_AnB.AnBx,PROTO_0011,1,A1 *->* A2: N3,no attack,100,no attack,78,NO_ATTACK,NO_ATTACK,
Bullet_Channel_2_AnB.AnBx,PROTO_0011,2,A2 authenticates A1 on N3,attack found,90,attack found,86,NO_ATTACK,NO_ATTACK,
Bullet_Channel_2_AnB.AnBx,PROTO_0011,3,A2 weakly authenticates A1 on N3,no attack,80,no attack,72,NO_ATTACK,NO_ATTACK,
Bullet_Channel_2_AnB.AnBx,PROTO_0011,4,"N3 secret between A1,A2",no attack,100,no attack,80,NO_ATTACK,NO_ATTACK,
Bullet_Channel_2_Secure_AnB.AnBx,PROTO_0012,1,A1 *->* A2: N4,no attack,95,no attack,78,NO_ATTACK,,NO_ATTACK
Bullet_Channel_2_Secure_AnB.AnBx,PROTO_0012,2,A2 authenticates A1 on N4,attack found,85,attack found,70,NO_ATTACK,,no_query
Bullet_Channel_2_Secure_AnB.AnBx,PROTO_0012,3,A2 weakly authenticates A1 on N4,no attack,75,no attack,74,NO_ATTACK,,no_query
Bullet_Channel_2_Secure_AnB.AnBx,PROTO_0012,4,"N4 secret between A1,A2",no attack,90,no attack,80,NO_ATTACK,,NO_ATTACK
Bullet_Channel_3_Secure_AnB.AnBx,PROTO_0013,1,A1 *->* A2: N4,no attack,95,no attack,78,NO_ATTACK,,NO_ATTACK
Bullet_Channel_3_Secure_AnB.AnBx,PROTO_0013,2,A2 authenticates A1 on N4,attack found,85,attack found,86,NO_ATTACK,,no_query
Bullet_Channel_3_Secure_AnB.AnBx,PROTO_0013,3,A2 weakly authenticates A1 on N4,no attack,80,no attack,72,NO_ATTACK,,no_query
Bullet_Channel_3_Secure_AnB.AnBx,PROTO_0013,4,"N4 secret between A1,A2",no attack,90,no attack,80,NO_ATTACK,,NO_ATTACK
Bullet_Channel_AnB.AnBx,PROTO_0014,1,A2 weakly authenticates A1 on N3,no attack,95,no attack,88,NO_ATTACK,NO_ATTACK,ATTACK
Bullet_Channel_Expansion_Auth_AnB.AnBx,PROTO_0015,1,A2 weakly authenticates A1 on N3,no attack,95,attack found,95,NO_ATTACK,NO_ATTACK,NO_ATTACK
